Object,log_L_agn,log_L_agn_err,t_cent,t_c_nerr,t_c_perr,z
3C120,43.87,0.05,25.9,2.3,2.3,0.03301
3C390.3,44.43,0.03,46.4,3.6,3.6,0.0561
Ark120,43.57,0.1,37.1,4.8,4.8,0.03271
Arp151,42.48,0.11,3.99,0.49,0.49,0.02109
Fairall9,43.92,0.05,17.4,3.2,3.2,0.04702
Mrk110,43.62,0.04,24.3,5.5,5.5,0.03529
Mrk1310,42.23,0.17,3.66,0.59,0.59,0.01956
Mrk142,43.54,0.04,2.74,0.73,0.73,0.04494
Mrk202,42.2,0.18,3.05,1.73,1.73,0.02102
Mrk279,43.64,0.08,16.7,3.9,3.9,0.03045
Mrk290,43.11,0.06,8.72,1.21,1.21,0.02958
Mrk335,43.68,0.06,14.3,0.7,0.7,0.02579
Mrk509,44.13,0.05,79.6,6.1,6.1,0.0344
Mrk590,43.59,0.06,28.8,3.6,3.6,0.02639
Mrk79,43.6,0.07,16.0,6.4,6.4,0.02219
Mrk817,43.61,0.05,33.6,6.5,6.5,0.03146
NGC3227,42.24,0.11,3.75,0.76,0.76,0.00386
NGC3516,42.73,0.21,11.68,1.02,1.02,0.00884
NGC3783,42.55,0.18,10.2,3.3,3.3,0.00973
NGC4051,41.96,0.2,1.87,0.54,0.54,0.00234
NGC4151,42.09,0.22,6.59,1.12,1.12,0.00332
NGC4253,42.51,0.13,6.16,1.63,1.63,0.01293
NGC4593,42.87,0.18,3.73,0.75,0.75,0.009
NGC4748,42.49,0.13,5.55,1.62,1.62,0.01463
NGC5273,41.534,0.144,2.21,1.19,1.19,0.003619
NGC5548,43.32,0.09,16.4,1.2,1.2,0.01718
NGC6814,42.05,0.29,6.64,0.87,0.87,0.00521
PG0026+129,44.91,0.02,111.0,24.1,24.1,0.142
PG0052+251,44.75,0.03,89.8,24.5,24.5,0.15445
PG0804+761,44.85,0.02,146.9,18.8,18.8,0.1
PG0953+414,45.13,0.01,150.1,21.6,21.6,0.2341
PG1226+023,45.9,0.02,306.8,68.5,68.5,0.15834
PG1229+204,43.64,0.06,37.8,27.6,27.6,0.06301
PG1307+085,44.79,0.02,105.6,36.0,36.0,0.155
PG1411+442,44.5,0.02,124.3,61.0,61.0,0.0896
PG1426+015,44.57,0.02,95.0,29.9,29.9,0.08657
PG1613+658,44.71,0.03,40.1,15.0,15.0,0.129
PG1617+175,44.33,0.02,71.5,29.6,29.6,0.11244
PG1700+518,45.53,0.01,251.8,45.9,45.9,0.292
PG2130+099,44.14,0.03,9.6,1.2,1.2,0.06298
SBS1116+583A,42.07,0.28,2.31,0.62,0.62,0.02787
