Object,log_L_agn,z,t_cent,t_c_perr,t_c_nerr
16,44.8,0.848,53.097,0.302,0.418
17,43.9,0.456,22.457,10.751,28.423
33,44.1,0.715,27.755,16.577,23.51
78,44.4,0.581,49.83,0.824,0.626
88,44.1,0.516,55.526,7.565,15.812
101,44.4,0.458,20.266,7.849,15.846
118,44.8,0.714,20.655,0.692,2.121
140,43.8,0.609,34.813,19.338,14.109
160,43.8,0.359,29.584,18.772,11.425
177,44.0,0.482,17.101,8.964,8.488
184,43.7,0.193,26.037,5.443,12.764
191,43.6,0.442,8.685,1.042,1.111
215,44.2,0.884,33.634,0.757,0.985
229,43.6,0.47,11.704,2.082,1.633
235,44.4,0.785,13.013,8.672,6.424
265,44.2,0.734,8.249,5.798,2.413
267,44.1,0.587,20.123,1.957,0.999
272,43.9,0.263,15.458,9.474,5.786
300,44.5,0.646,33.844,1.672,1.942
305,44.2,0.527,53.284,2.733,0.796
316,45.0,0.676,13.476,11.693,26.593
320,43.4,0.265,21.738,2.185,2.547
338,43.4,0.418,10.665,11.373,4.181
341,44.4,0.424,63.165,2.927,11.13
373,44.9,0.884,19.666,2.654,6.316
392,44.3,0.843,14.135,1.71,1.353
399,44.0,0.608,15.456,4.731,1.08
428,45.4,0.976,22.775,0.161,0.847
440,44.7,0.754,33.125,11.327,9.157
457,43.4,0.604,14.374,3.892,15.282
519,43.2,0.554,13.866,13.47,2.76
541,43.5,0.44,29.96,9.347,5.301
551,44.0,0.68,6.668,2.872,1.065
589,44.4,0.751,42.609,10.292,9.99
601,44.1,0.658,15.449,4.922,4.479
622,44.3,0.572,51.989,11.812,5.14
634,44.0,0.65,18.152,5.459,3.207
675,44.8,0.918,40.739,7.911,0.837
694,44.2,0.532,12.721,5.059,3.903
707,44.1,0.89,4.724,0.763,2.733
714,44.6,0.921,45.471,0.877,4.277
767,43.9,0.527,31.556,9.633,12.788
772,43.4,0.249,3.829,0.817,12.158
775,43.5,0.172,15.574,19.469,8.145
776,43.1,0.116,8.986,8.615,19.893
778,44.8,0.786,0.743,12.974,0.611
781,43.6,0.263,65.717,5.55,1.941
782,43.9,0.362,18.014,3.275,12.376
790,43.3,0.237,7.543,7.681,3.986
822,43.6,0.288,9.989,1.407,4.229
824,43.9,0.845,42.189,1.215,3.489
840,43.2,0.244,4.998,2.117,1.666
